region,pdi,idv,mas,uai,ltowvs,ivr
ALB,NA,NA,NA,NA,61,15
DZA,NA,NA,NA,NA,26,32
AND,NA,NA,NA,NA,NA,65
ARG,49,46,56,86,20,62
ARM,NA,NA,NA,NA,61,NA
AUS,38,90,61,51,21,71
AUT,11,55,79,70,60,63
AZE,NA,NA,NA,NA,61,22
BGD,80,20,55,60,47,20
BLR,NA,NA,NA,NA,81,15
BEL,65,75,54,94,82,57
BOL,78,10,42,87,25,46
BIH,NA,NA,NA,NA,70,44
BRA,69,38,49,76,44,59
BGR,70,30,40,85,69,16
BFA,NA,NA,NA,NA,27,18
CAN,39,80,52,48,36,68
CHL,63,23,28,86,31,68
CHN,80,20,66,30,87,24
COL,67,13,64,80,13,83
CRI,35,15,21,86,NA,NA
HRV,73,33,40,80,58,33
CYP,NA,NA,NA,NA,NA,70
CZE,57,58,57,74,70,29
DNK,18,74,16,23,35,70
DOM,65,30,65,45,13,54
ECU,78,8,63,67,NA,NA
EGY,70,25,45,80,7,4
ETH,NA,NA,NA,NA,NA,46
SLV,66,19,40,94,20,89
EST,40,60,30,60,82,16
FIN,33,63,26,59,38,57
FRA,68,71,43,86,63,48
GEO,NA,NA,NA,NA,38,32
DEU,35,67,66,65,83,40
GHA,NA,NA,NA,NA,4,72
GBR,35,89,66,35,51,69
GRC,60,35,57,112,45,50
GTM,95,6,37,101,NA,NA
HND,80,20,40,50,NA,NA
HKG,68,25,57,29,61,17
HUN,46,80,88,82,58,31
ISL,30,60,10,50,28,67
IND,77,48,56,40,51,26
IDN,78,14,46,48,62,38
IRN,58,41,43,59,14,40
IRQ,NA,NA,NA,NA,25,17
IRL,28,70,68,35,24,65
ISR,13,54,47,81,38,NA
ITA,50,76,70,75,61,30
JAM,45,39,68,13,NA,NA
JPN,54,46,95,92,88,42
JOR,NA,NA,NA,NA,16,43
KOR,60,18,39,85,100,29
KGZ,NA,NA,NA,NA,66,39
LVA,44,70,9,63,69,13
LTU,42,60,19,65,82,16
LUX,40,60,50,70,64,56
MKD,NA,NA,NA,NA,62,35
MYS,104,26,50,36,41,57
MLI,NA,NA,NA,NA,20,43
MLT,56,59,47,96,47,66
MEX,81,30,69,82,24,97
MDA,NA,NA,NA,NA,71,19
MNE,NA,NA,NA,NA,75,20
MAR,70,46,53,68,14,25
NLD,38,80,14,53,67,68
NZL,22,79,58,49,33,75
NGA,NA,NA,NA,NA,13,84
NOR,31,69,8,50,35,55
PAK,55,14,50,70,50,0
PAN,95,11,44,86,NA,NA
PRY,70,12,40,85,20,56
PER,64,16,42,87,25,46
PHL,94,32,64,44,27,42
POL,68,60,64,93,38,29
PRT,63,27,31,104,28,33
PRI,NA,NA,NA,NA,0,90
ROU,90,30,42,90,52,20
RUS,93,39,36,95,81,20
RWA,NA,NA,NA,NA,18,37
SAU,95,25,60,80,36,52
SRB,86,25,43,92,52,28
SGP,74,20,48,8,72,46
SVK,104,52,110,51,77,28
SVN,71,27,19,88,49,48
ZAF,49,65,63,49,34,63
ESP,57,51,42,86,48,44
SUR,85,47,37,92,NA,NA
SWE,31,71,5,29,53,78
CHE,34,68,70,58,74,66
TWN,58,17,45,69,93,49
TZA,NA,NA,NA,NA,34,38
THA,64,20,34,64,32,45
TTO,47,16,58,55,13,80
TUR,66,37,45,85,46,49
USA,40,91,62,46,26,68
UGA,NA,NA,NA,NA,24,52
UKR,92,25,27,95,86,14
ARE,90,25,50,80,NA,NA
URY,61,36,38,100,26,53
VEN,81,12,73,76,16,100
VNM,70,20,40,30,57,35
ZMB,NA,NA,NA,NA,30,42
ZWE,NA,NA,NA,NA,15,28
